case,model,custom_model,query,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_correct_answer,custom_predicted_faq_id,custom_similarity,custom_accepted,custom_correct_answer,pretrained_predicted_faq_id,pretrained_similarity,pretrained_accepted,pretrained_correct_answer
A,pw2v_mean,w2v_mean,"What investigations are carried out in Germanic Literature, Culture and Theory?",47,97,0.7770981683169131,True,False,197,0.956399923498427,True,False,47,0.8720248053151682,True,True
A,pw2v_mean,w2v_mean,"Give an outline of PhD in Architecture, Landscape, and Design syllabus.",3,196,0.6530394136224653,True,False,53,0.9308335612018126,True,False,3,0.879115507487728,True,True
B,pw2v_mean,w2v_mean,Explain how this works: how will I get alerts.,288,288,0.6571896258663,True,True,288,0.9214830240428642,False,False,288,0.8522335651749893,False,False
B,pw2v_mean,w2v_mean,I need guidance on this matter: can transfer students participate in the Jump Start degree.,322,322,0.7833273985610424,True,True,322,0.9446380813265028,True,True,322,0.8466253834964178,False,False
B,pw2v_mean,w2v_mean,Which areas of learning belong to Language and Literacies Education?,118,118,0.6093861541816653,True,True,137,0.8776404290520734,False,False,118,0.8180561351164138,False,False
B,pw2v_mean,w2v_mean,Describe the way Museum Studies is arranged.,91,91,0.5966197400600155,True,True,289,0.8535386640410914,False,False,91,0.7545241574583434,False,False
B,pw2v_mean,w2v_mean,I want to establish whether there any financial support choices for me.,323,323,0.7302798136509048,True,True,316,0.8878059692582014,False,False,323,0.8387225038625415,False,False
B,pw2v_mean,w2v_mean,What kind of workplace suits a Master of Education in Developmental Psychology & Education leaver?,77,77,0.7048780167215015,True,True,15,0.9535973999104036,True,False,77,0.8558821624753191,False,False
B,pw2v_mean,w2v_mean,Which professions follow on from Global Affairs?,210,210,0.5616226712738818,True,True,210,0.8906429975591025,False,False,210,0.6576030578474317,False,False
B,pw2v_mean,w2v_mean,What shape does Urban Innovation take?,102,102,0.5480812047386103,True,True,403,0.8708036973240049,False,False,140,0.7293700933823357,False,False
B,pw2v_mean,w2v_mean,Which scholarly work happens within Dentistry (with Specialty Training)?,183,183,0.6034222962824147,True,True,130,0.9124447867677209,False,False,183,0.8236874949648317,False,False
B,pw2v_mean,w2v_mean,Which professions follow on from Physical Therapy?,85,85,0.6008685403229872,True,True,85,0.8569247070748703,False,False,85,0.7034493077574393,False,False
B,pw2v_mean,w2v_mean,What is the correct procedure to settle the amount my fees fees?,469,469,0.5087981902682476,True,True,386,0.9267654604538696,False,False,252,0.7980019917936964,False,False
B,pw2v_mean,w2v_mean,What should be understood about an Exclusion?,391,391,0.6493108256155026,True,True,254,0.9085403960993461,False,False,391,0.8295315216057234,False,False
B,pw2v_mean,w2v_mean,What material does Adult Education and Community Development teach?,20,20,0.8180680543470139,True,True,152,0.9171579922242648,False,False,20,0.8346050895042307,False,False
B,pw2v_mean,w2v_mean,Which page should someone visit to go to smoke?,308,308,0.5775297608441164,True,True,312,0.9094619130402801,False,False,308,0.8356159705224082,False,False
B,pw2v_mean,w2v_mean,I need guidance on this matter: how should I settle the amount the submission fee.,418,418,0.5576926899318295,True,True,418,0.9419696111526069,True,True,418,0.8552511015207904,False,False
